name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,6.1958009070003754,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
wrist extension - right,0,0,0,0,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
thumb middle adduction,0,1,1,2,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
fist,0,2,2,4,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
wrist extension - right,0,3,3,0,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
4-5 finger contration,0,4,4,3,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
wrist flection - left,1,0,5,1,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
wrist flection - left,1,1,6,1,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
thumb middle adduction,1,2,7,2,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
fist,1,3,8,4,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
4-5 finger contration,1,4,9,3,,,,001,2019_kwi_10_1739,experiment_2,3.0.5,60.07115572569871,
