name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,2.0536136959999567,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
thumb middle adduction,0,0,0,2,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
4-5 finger contration,0,1,1,3,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
fist,0,2,2,4,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
fist,0,3,3,4,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
4-5 finger contration,0,4,4,3,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
wrist extension - right,1,0,5,0,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
wrist extension - right,1,1,6,0,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
wrist flection - left,1,2,7,1,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
wrist flection - left,1,3,8,1,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
thumb middle adduction,1,4,9,2,,,,001,2019_kwi_10_1748,experiment_2,3.0.5,59.9293701211996,
