6.3144 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
7.5284 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f54aae247b8>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f54aae07860>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5285 	EXP 	window1: recordFrameIntervals = False
7.6941 	EXP 	window1: recordFrameIntervals = True
7.8780 	EXP 	window1: recordFrameIntervals = False
8.0508 	EXP 	Created info_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='info_1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
8.0636 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
8.1029 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
8.1049 	EXP 	Created diode = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='diode', opacity=1.0, ori=array(0.), pos=array([-0.6, -0.4]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
8.1455 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
8.1579 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
8.1605 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
8.1626 	EXP 	Created diode = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='diode', opacity=1.0, ori=array(0.), pos=array([-0.6, -0.4]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
8.1878 	EXP 	info_1: autoDraw = True
10.6286 	DATA 	Keypress: lalt
14.0284 	DATA 	Keypress: space
14.0483 	EXP 	Imported trials.csv as conditions, 5 conditions, 1 params
14.0494 	EXP 	Created sequence: fullRandom, trialTypes=5, nReps=2, seed=None
14.0498 	EXP 	New trial (rep=0, index=0): OrderedDict([('name', 'fist')])
14.0610 	EXP 	info_1: autoDraw = False
14.0610 	EXP 	text: text = 'fist'
14.0610 	EXP 	text: autoDraw = True
16.0616 	EXP 	text: autoDraw = False
16.0776 	EXP 	polygon: autoDraw = True
16.0776 	EXP 	diode: autoDraw = True
18.0458 	EXP 	New trial (rep=0, index=1): OrderedDict([('name', 'wrist flection - left')])
18.0776 	EXP 	text: autoDraw = False
18.0776 	EXP 	polygon: autoDraw = False
18.0776 	EXP 	diode: autoDraw = False
18.0776 	EXP 	text: text = 'wrist flection - left'
18.0776 	EXP 	text: autoDraw = True
20.0615 	EXP 	text: autoDraw = False
20.0775 	EXP 	polygon: autoDraw = True
20.0775 	EXP 	diode: autoDraw = True
22.0452 	EXP 	New trial (rep=0, index=2): OrderedDict([('name', '4-5 finger contration')])
22.0781 	EXP 	text: autoDraw = False
22.0781 	EXP 	polygon: autoDraw = False
22.0781 	EXP 	diode: autoDraw = False
22.0781 	EXP 	text: text = '4-5 finger contration'
22.0781 	EXP 	text: autoDraw = True
24.0613 	EXP 	text: autoDraw = False
24.0770 	EXP 	polygon: autoDraw = True
24.0770 	EXP 	diode: autoDraw = True
26.0461 	EXP 	New trial (rep=0, index=3): OrderedDict([('name', 'thumb middle adduction')])
26.0774 	EXP 	text: autoDraw = False
26.0774 	EXP 	polygon: autoDraw = False
26.0774 	EXP 	diode: autoDraw = False
26.0774 	EXP 	text: text = 'thumb middle adduction'
26.0774 	EXP 	text: autoDraw = True
28.0608 	EXP 	text: autoDraw = False
28.0780 	EXP 	polygon: autoDraw = True
28.0780 	EXP 	diode: autoDraw = True
