name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,2.571098798998719,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
4-5 finger contration,0,0,0,3,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
fist,0,1,1,4,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
4-5 finger contration,0,2,2,3,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
fist,0,3,3,4,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
wrist flection - left,0,4,4,1,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
thumb middle adduction,1,0,5,2,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
wrist extension - right,1,1,6,0,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
thumb middle adduction,1,2,7,2,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
wrist extension - right,1,3,8,0,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
wrist flection - left,1,4,9,1,,,,,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
,,,,,,,,,,,space,83.68313131600007,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
wrist flection - left,,,,,0,0,0,1,,,,,,001,2019_kwi_10_1754,experiment_2,3.0.5,59.99916361122769,
