name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,5.840771090000999,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
fist,0,0,0,4,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
wrist flection - left,0,1,1,1,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
4-5 finger contration,0,2,2,3,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
thumb middle adduction,0,3,3,2,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
thumb middle adduction,0,4,4,2,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
fist,1,0,5,4,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
wrist flection - left,1,1,6,1,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
wrist extension - right,1,2,7,0,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
4-5 finger contration,1,3,8,3,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
wrist extension - right,1,4,9,0,,,,001,2019_kwi_10_1638,experiment_2,3.0.5,59.83456639952869,
